KPI,Unit,Min,Max
ggsn_545b,ggsn_545,#,0,
ggsn_546a,ggsn_546,#,0,
ggsn_546b,ggsn_546,#,0,
ggsn_547a,ggsn_547,#,0,
ggsn_547b,ggsn_547,#,0,
ggsn_548a,ggsn_548,#,0,
ggsn_548b,ggsn_548,#,0,
ggsn_549a,ggsn_549,%,0,100
ggsn_549b,ggsn_549,%,0,100
ggsn_550a,ggsn_550,%,0,100
ggsn_550b,ggsn_550,%,0,100
ggsn_551a,ggsn_551,#,0,
ggsn_551b,ggsn_551,B,0,
ggsn_551c,ggsn_551,MB,0,
ggsn_552a,ggsn_552,#,0,
ggsn_552b,ggsn_552,B,0,
ggsn_552c,ggsn_552,MB,0,
ggsn_553a,ggsn_553,#,0,
ggsn_554a,ggsn_554,#,0,
ggsn_554b,ggsn_554,B,0,
ggsn_554c,ggsn_554,MB,0,
ggsn_555a,ggsn_555,#,0,
ggsn_555b,ggsn_555,B,0,
ggsn_555c,ggsn_555,MB,0,
ggsn_556a,ggsn_556,#,0,
ggsn_557a,ggsn_557,#,0,
ggsn_558a,ggsn_558,#,0,
ggsn_559a,ggsn_559,%,0,100
ggsn_560a,ggsn_560,#,0,
ggsn_561a,ggsn_561,#,0,
ggsn_561b,ggsn_561,%,0,100
ggsn_562a,ggsn_562,#,0,
ggsn_562b,ggsn_562,%,0,100
ggsn_563a,ggsn_563,#,0,
ggsn_563b,ggsn_563,%,0,100
ggsn_564a,ggsn_564,#,0,
ggsn_564b,ggsn_564,%,0,100
ggsn_565a,ggsn_565,#,0,
ggsn_565b,ggsn_565,%,0,100
ggsn_566a,ggsn_566,#,0,
ggsn_566b,ggsn_566,%,0,100
ggsn_567a,ggsn_567,#,0,
ggsn_567b,ggsn_567,%,0,100
ggsn_568a,ggsn_568,#,0,
ggsn_568b,ggsn_568,%,0,100
ggsn_569a,ggsn_569,#,0,
ggsn_569b,ggsn_569,%,0,100
ggsn_570a,ggsn_570,#,0,
ggsn_571a,ggsn_571,#,0,
ggsn_572a,ggsn_572,#,0,
ggsn_573a,ggsn_573,%,0,100
ggsn_574a,ggsn_574,#,0,
ggsn_575a,ggsn_575,%,0,100
ggsn_576a,ggsn_576,#,0,
ggsn_577a,ggsn_577,%,0,100
ggsn_578a,ggsn_578,#,0,
ggsn_579a,ggsn_579,#,0,
ggsn_580a,ggsn_580,#,0,
ggsn_581a,ggsn_581,%,0,100
ggsn_581b,ggsn_581,%,0,100
ggsn_582a,ggsn_582,#,0,
ggsn_582b,ggsn_582,#,0,
ggsn_583a,ggsn_583,%,0,100
ggsn_583b,ggsn_583,%,0,100
ggsn_584a,ggsn_584,#,0,
ggsn_584b,ggsn_584,#,0,
ggsn_585a,ggsn_585,#,0,
ggsn_586a,ggsn_586,#,0,
ggsn_587a,ggsn_587,#,0,
ggsn_588a,ggsn_588,%,0,100
ggsn_589a,ggsn_589,#,0,
ggsn_590a,ggsn_590,%,0,100
ggsn_591a,ggsn_591,#,0,
ggsn_592a,ggsn_592,%,0,100
ggsn_593a,ggsn_593,#,0,
ggsn_594a,ggsn_594,#,0,
ggsn_595a,ggsn_595,#,0,
ggsn_596a,ggsn_596,#,0,
ggsn_597a,ggsn_597,#,0,
ggsn_598a,ggsn_598,#,0,
ggsn_599a,ggsn_599,%,0,100
ggsn_600a,ggsn_600,#,0,
ggsn_601a,ggsn_601,%,0,100
ggsn_602a,ggsn_602,#,0,
ggsn_603a,ggsn_603,%,0,100
ggsn_604a,ggsn_604,#,0,
ggsn_605a,ggsn_605,#,0,
ggsn_606a,ggsn_606,#,0,
ggsn_607a,ggsn_607,#,0,
ggsn_608a,ggsn_608,#,0,
ggsn_609a,ggsn_609,#,0,
ggsn_610a,ggsn_610,%,0,100
ggsn_611a,ggsn_611,#,0,
ggsn_612a,ggsn_612,%,0,100
ggsn_613a,ggsn_613,#,0,
ggsn_614a,ggsn_614,%,0,100
ggsn_615a,ggsn_615,#,0,
ggsn_616a,ggsn_616,#,0,
ggsn_617a,ggsn_617,#,0,
ggsn_618a,ggsn_618,#,0,
ggsn_619a,ggsn_619,%,0,100
ggsn_619b,ggsn_619,%,0,100
ggsn_620a,ggsn_620,#,0,
ggsn_620b,ggsn_620,#,0,
ggsn_621a,ggsn_621,%,0,100
ggsn_621b,ggsn_621,%,0,100
ggsn_622a,ggsn_622,#,0,
ggsn_622b,ggsn_622,#,0,
ggsn_623a,ggsn_623,%,0,100
ggsn_624a,ggsn_624,#,0,
ggsn_625a,ggsn_625,#,0,
ggsn_626a,ggsn_626,#,0,
ggsn_627a,ggsn_627,#,0,
ggsn_628a,ggsn_628,#,0,
ggsn_629a,ggsn_629,#,0,
ggsn_630a,ggsn_630,%,0,100
ggsn_631a,ggsn_631,#,0,
ggsn_633a,ggsn_633,kB,0,
ggsn_634a,ggsn_634,kB,0,
ggsn_635a,ggsn_635,%,0,100
ggsn_636a,ggsn_636,#,0,
ggsn_637a,ggsn_637,#,0,
ggsn_638a,ggsn_638,kB,0,
ggsn_638b,ggsn_638,kB,0,
ggsn_639a,ggsn_639,kB,0,
ggsn_639b,ggsn_639,kB,0,
ggsn_640a,ggsn_640,kB,0,
ggsn_640b,ggsn_640,kB,0,
ggsn_641a,ggsn_641,%,0,100
ggsn_642a,ggsn_642,%,0,100
ggsn_643a,ggsn_643,%,0,100
ggsn_644a,ggsn_644,%,0,100
ggsn_645a,ggsn_645,%,0,100
ggsn_646a,ggsn_646,%,0,100
ggsn_647a,ggsn_647,%,0,100
ggsn_648a,ggsn_648,%,0,100
ggsn_649a,ggsn_649,%,0,100
ggsn_650a,ggsn_650,%,0,100
ggsn_2000a,ggsn_2000,#,0,
ggsn_2001a,ggsn_2001,%,0,100
ggsn_2002a,ggsn_2002,#,0,
ggsn_2003a,ggsn_2003,%,0,100
ggsn_2004a,ggsn_2004,#,0,
ggsn_2005a,ggsn_2005,%,0,100
ggsn_2006a,ggsn_2006,#,0,
ggsn_2007a,ggsn_2007,%,0,100
ggsn_2008a,ggsn_2008,Mb/s,0,
ggsn_2009a,ggsn_2009,Mb/s,0,
ggsn_2010a,ggsn_2010,p/s,0,
ggsn_2011a,ggsn_2011,p/s,0,
ggsn_2012a,ggsn_2012,#,0,
ggsn_2013a,ggsn_2013,#,0,
ggsn_2014a,ggsn_2014,%,0,100
ggsn_2015a,ggsn_2015,#,0,
ggsn_2016a,ggsn_2016,%,0,100
ggsn_2017a,ggsn_2017,%,0,100
ggsn_2018a,ggsn_2018,#,0,
ggsn_2019a,ggsn_2019,%,0,100
ggsn_2020a,ggsn_2020,%,0,100
ggsn_2021a,ggsn_2021,#,0,
ggsn_2022a,ggsn_2022,%,0,100
ggsn_2023a,ggsn_2023,MB,0,
ggsn_2024a,ggsn_2024,MB,0,
ggsn_2025a,ggsn_2025,#,0,
ggsn_2026a,ggsn_2026,MB,0,
ggsn_2027a,ggsn_2027,MB,0,
ggsn_2028a,ggsn_2028,#,0,
ggsn_2029a,ggsn_2029,%,0,100
ggsn_2030a,ggsn_2030,%,0,100
ggsn_2031a,ggsn_2031,%,0,100
ggsn_2032a,ggsn_2032,%,0,100
ggsn_2033a,ggsn_2033,MB,0,
ggsn_2034a,ggsn_2034,MB,0,
ggsn_2035a,ggsn_2035,MB,0,
ggsn_2036a,ggsn_2036,MB,0,
ggsn_2037a,ggsn_2037,MB,0,
ggsn_2038a,ggsn_2038,MB,0,
ggsn_2039a,ggsn_2039,%,0,100
ggsn_2040a,ggsn_2040,%,0,100
ggsn_2041a,ggsn_2041,%,0,100
ggsn_2042a,ggsn_2042,%,0,100
ggsn_2043a,ggsn_2043,%,0,100
ggsn_2044a,ggsn_2044,%,0,100
ggsn_2045a,ggsn_2045,MB,0,
ggsn_2046a,ggsn_2046,MB,0,
ggsn_2047a,ggsn_2047,%,0,100
ggsn_2048a,ggsn_2048,%,0,100
ggsn_2049a,ggsn_2049,%,0,100
ggsn_2050a,ggsn_2050,%,0,100
ggsn_2051a,ggsn_2051,%,0,100
ggsn_2052a,ggsn_2052,#,0,
ggsn_2053a,ggsn_2053,#,0,
ggsn_2054a,ggsn_2054,%,0,100
ggsn_2055a,ggsn_2055,%,0,100
ggsn_2056a,ggsn_2056,%,0,100
ggsn_2057a,ggsn_2057,%,0,100
ggsn_2058a,ggsn_2058,%,0,100
ggsn_2059a,ggsn_2059,#,0,
ggsn_2060a,ggsn_2060,%,0,100
ggsn_2061a,ggsn_2061,#,0,
ggsn_2062a,ggsn_2062,%,0,100
ggsn_2063a,ggsn_2063,#,0,
ggsn_2064a,ggsn_2064,%,0,100
ggsn_2065a,ggsn_2065,#,0,
ggsn_2066a,ggsn_2066,%,0,100
ggsn_2067a,ggsn_2067,#,0,
ggsn_2068a,ggsn_2068,%,0,100
ggsn_2069a,ggsn_2069,#,0,
ggsn_2070a,ggsn_2070,%,0,100
ggsn_2071a,ggsn_2071,%,0,100
ggsn_2072a,ggsn_2072,p/s,0,
ggsn_2073a,ggsn_2073,p/s,0,
ggsn_2074a,ggsn_2074,p/s,0,
ggsn_2075a,ggsn_2075,p/s,0,
ggsn_2076a,ggsn_2076,%,0,100
ggsn_2077a,ggsn_2077,%,0,100
ggsn_2078a,ggsn_2078,%,0,100
ggsn_2079a,ggsn_2079,#,0,
ggsn_2080a,ggsn_2080,%,0,100
ggsn_2081a,ggsn_2081,#/s,0,
ggsn_2082a,ggsn_2082,%,0,100
ggsn_2083a,ggsn_2083,%,0,100
ggsn_2084a,ggsn_2084,kB,0,
ggsn_2085a,ggsn_2085,kB,0,
ggsn_2086a,ggsn_2086,kb/s,0,
ggsn_2087a,ggsn_2087,kb/s,0,
ggsn_2088a,ggsn_2088,%,0,100
ggsn_2088b,ggsn_2088,%,0,100
ggsn_2089a,ggsn_2089,%,0,100
ggsn_2090a,ggsn_2090,%,0,100
ggsn_2091a,ggsn_2091,MB,0,
ggsn_2092a,ggsn_2092,MB,0,
ggsn_2093a,ggsn_2093,kb/s,0,
ggsn_2094a,ggsn_2094,Mb/s,0,
ggsn_2095a,ggsn_2095,%,0,100
ggsn_2095b,ggsn_2095,%,0,100
ggsn_2096a,ggsn_2096,%,0,100
ggsn_2097a,ggsn_2097,#,0,
ggsn_2098a,ggsn_2098,#,0,
ggsn_2099a,ggsn_2099,#,0,
ggsn_2100a,ggsn_2100,#,0,
ggsn_2101a,ggsn_2101,p/s,0,
ggsn_111a,ggsn_111,#,0,
ggsn_386c,ggsn_386,Mb/s,0,
ggsn_386d,ggsn_386,Mb/s,0,
ggsn_117a,ggsn_117,Mb/s,0,
ggsn_118a,ggsn_118,Mb/s,0,
ggsn_399c,ggsn_399,Mb/s,0,
ggsn_399d,ggsn_399,Mb/s,0,
res_ggsn50b,res_ggsn50,%,0,100
ggsn_124a,ggsn_124,Mb/s,0,
ggsn_126a,ggsn_126,p/s,0,
cha_ggsn83a,cha_ggsn83,#,0,
cha_ggsn84a,cha_ggsn84,#,0,
cha_ggsn86b,cha_ggsn86,%,0,100
tra_ggsn176c,tra_ggsn176,MB,0,
ggsn_115a,ggsn_115,MB,0,
tra_ggsn177c,tra_ggsn177,MB,0,
ggsn_116a,ggsn_116,MB,0,
ggsn_527a,ggsn_527,%,0,100
ggsn_632a,ggsn_632,%,0,100
ggsn_178a,ggsn_178,MB,0,
ggsn_180a,ggsn_180,MB,0,
ggsn_179a,ggsn_179,MB,0,
ggsn_181a,ggsn_181,MB,0,
ggsn_125a,ggsn_125,Mb/s,0,
ggsn_127a,ggsn_127,p/s,0,
ggsn_412b,ggsn_412,MB,0,
ggsn_412c,ggsn_412,MB,0,
ggsn_411b,ggsn_411,MB,0,
ggsn_411c,ggsn_411,MB,0,
lte_5218f,lte_5218,%,0,100
lte_5204c,lte_5204,%,0,100
lte_5205b,lte_5205,#,0,
lte_5805d,lte_5805,#,0,
lte_5804c,lte_5804,#,0,
lte_5572e,lte_5572,%,0,100
lte_5562a,lte_5562,#,0,
lte_5564a,lte_5564,%,0,100
lte_5565a,lte_5565,#,0,
lte_5567a,lte_5567,%,0,100
lte_5293c,lte_5293,kb/s,0,
lte_5289d,lte_5289,kb/s,0,
lte_5292d,lte_5292,kb/s,0,
msc_2326a,msc_2326,#,0,
msc_2327a,msc_2327,%,0,100
isbc_2a,isbc_2,%,0,100
isbc_4a,isbc_4,%,0,100
isbc_6b,isbc_6,%,0,100
isbc_7a,isbc_7,#,0,
isbc_10a,isbc_10,s,0,
isbc_13a,isbc_13,%,0,100
isbc_20a,isbc_20,#,0,
isbc_21a,isbc_21,%,0,100
isbc_24a,isbc_24,ms,0,
sbcn_2a,sbcn_2,%,0,100
sbcn_4a,sbcn_4,%,0,100
sbcn_6b,sbcn_6,%,0,100
sbcn_7a,sbcn_7,#,0,
sbcn_10a,sbcn_10,s,0,
sbcn_13a,sbcn_13,%,0,100
sbcn_20a,sbcn_20,#,0,
sbcn_21a,sbcn_21,%,0,100
sbcn_24a,sbcn_24,ms,0,
cscf_2a,cscf_2,%,0,100
cscf_5a,cscf_5,%,0,100
cscf_7a,cscf_7,%,0,100
cscf_9b,cscf_9,%,0,100
cscf_10a,cscf_10,#,0,
cscf_11b,cscf_11,%,0,100
cscf_19a,cscf_19,s,0,
cscf_89a,cscf_89,#,0,
cscf_90a,cscf_90,%,0,100
cscf_92a,cscf_92,s,0,
cscf_97a,cscf_97,s,0,
cscf_170a,cscf_170,%,0,100
cscf_242b,cscf_242,s,0,
cscf_249b,cscf_249,%,0,100
cscf_275a,cscf_275,%,0,100
cscf_276a,cscf_276,%,0,100
cscf_277a,cscf_277,%,0,100
cscf_5005a,cscf_5005,#,0,
tas_2368a,tas_2368,%,0,100
tas_2230a,tas_2230,%,0,100
tas_2254a,tas_2254,#,0,
tas_2255a,tas_2255,%,0,100
tas_648a,tas_648,%,0,100
tas_583a,tas_583,#,0,
tas_405a,tas_405,s,0,
tas_602a,tas_602,%,0,100
tas_603a,tas_603,%,0,100
tas_2312a,tas_2312,E,,
tas_2325b,tas_2325,%,0,100
tas_2327b,tas_2327,#,0,
ntas_2230a,ntas_2230,%,0,100
ntas_2368a,ntas_2368,%,0,100
ntas_2254a,ntas_2254,#,0,
ntas_2255a,ntas_2255,%,0,100
ntas_648a,ntas_648,%,0,100
ntas_405a,ntas_405,s,0,
ntas_602a,ntas_602,%,0,100
ntas_603a,ntas_603,%,0,100
ntas_2312a,ntas_2312,E,,
ntas_2327a,ntas_2327,#,0,
ntas_2325a,ntas_2325,%,0,100
ntas_2364a,ntas_2364,#,0,
ntas_2362a,ntas_2362,%,0,100
ntas_2369a,ntas_2369,#,0,
ntas_2370a,ntas_2370,%,0,100
obgw_1140a,obgw_1140,#,0,
obgw_2005a,obgw_2005,Mb/s,0,
cmm_5a,cmm_5,%,0,100
cmm_69a,cmm_69,%,0,100
cmm_78a,cmm_78,%,0,100
cmm_66a,cmm_66,#,0,
cmm_74a,cmm_74,%,0,100
cmm_105a,cmm_105,%,0,100
cmm_107a,cmm_107,%,0,100
cmg_265a,cmg_265,#,0,
cmg_266a,cmg_266,%,0,100
cmg_267a,cmg_267,#,0,
cmg_268a,cmg_268,%,0,100
hssf_5003a,hssf_5003,#/s,0,
hssf_7a,hssf_7,#,0,
hssf_92a,hssf_92,%,0,100
hssf_1a,hssf_1,#,0,
hssf_2a,hssf_2,#,0,
hssf_2b,hssf_2,#,0,
hssf_3a,hssf_3,#,0,
hssf_4a,hssf_4,%,0,100
hssf_5a,hssf_5,#,0,
hssf_6a,hssf_6,#,0,
hssf_6b,hssf_6,#,0,
hssf_6c,hssf_6,#,0,
hssf_7b,hssf_7,#,0,
hssf_8a,hssf_8,#,0,
hssf_9a,hssf_9,#,0,
hssf_10a,hssf_10,%,0,100
hssf_10b,hssf_10,%,0,100
hssf_11a,hssf_11,%,0,100
hssf_12a,hssf_12,%,0,100
hssf_13a,hssf_13,%,0,100
hssf_14a,hssf_14,%,0,100
hssf_15a,hssf_15,#,0,
hssf_16a,hssf_16,#,0,
hssf_17a,hssf_17,%,0,100
hssf_18a,hssf_18,#,0,
hssf_19a,hssf_19,#,0,
hssf_20a,hssf_20,%,0,100
hssf_21a,hssf_21,#,0,
hssf_22a,hssf_22,#,0,
hssf_23a,hssf_23,%,0,100
hssf_24a,hssf_24,%,0,100
hssf_25a,hssf_25,#,0,
hssf_26a,hssf_26,#,0,
hssf_27a,hssf_27,#,0,
hssf_28a,hssf_28,%,0,100
hssf_29a,hssf_29,%,0,100
hssf_30a,hssf_30,%,0,100
hssf_31a,hssf_31,%,0,100
hssf_32a,hssf_32,%,0,100
hssf_33a,hssf_33,%,0,100
hssf_34a,hssf_34,#,0,
hssf_35a,hssf_35,#,0,
hssf_36a,hssf_36,#,0,
hssf_37a,hssf_37,#,0,
hssf_38a,hssf_38,%,0,100
hssf_39a,hssf_39,%,0,100
hssf_40a,hssf_40,%,0,100
hssf_41a,hssf_41,%,0,100
hssf_42a,hssf_42,#,0,
hssf_43a,hssf_43,#,0,
hssf_44a,hssf_44,%,0,100
hssf_45a,hssf_45,%,0,100
hssf_46a,hssf_46,#,0,
hssf_47a,hssf_47,#,0,
hssf_48a,hssf_48,#,0,
hssf_49a,hssf_49,%,0,100
hssf_50a,hssf_50,%,0,100
hssf_51a,hssf_51,%,0,100
hssf_52a,hssf_52,%,0,100
hssf_53a,hssf_53,%,0,100
hssf_54a,hssf_54,%,0,100
hssf_55a,hssf_55,#,0,
hssf_56a,hssf_56,#,0,
hssf_57a,hssf_57,%,0,100
hssf_58a,hssf_58,%,0,100
hssf_59a,hssf_59,%,0,100
hssf_60a,hssf_60,%,0,100
hssf_61a,hssf_61,#,0,
hssf_62a,hssf_62,%,0,100
hssf_63a,hssf_63,%,0,100
hssf_64a,hssf_64,#,0,
hssf_65a,hssf_65,%,0,100
hssf_66a,hssf_66,#,0,
hssf_67a,hssf_67,%,0,100
hssf_68a,hssf_68,%,0,100
hssf_69a,hssf_69,#,0,
hssf_70a,hssf_70,%,0,100
hssf_70b,hssf_70,%,0,100
hssf_71a,hssf_71,%,0,100
hssf_71b,hssf_71,%,0,100
hssf_72a,hssf_72,%,0,100
hssf_72b,hssf_72,%,0,100
hssf_73a,hssf_73,%,0,100
hssf_73b,hssf_73,%,0,100
hssf_74a,hssf_74,%,0,100
hssf_74b,hssf_74,%,0,100
hssf_75a,hssf_75,%,0,100
hssf_75b,hssf_75,%,0,100
hssf_76a,hssf_76,%,0,100
hssf_77a,hssf_77,%,0,100
hssf_78a,hssf_78,%,0,100
hssf_78b,hssf_78,%,0,100
hssf_79a,hssf_79,%,0,100
hssf_80a,hssf_80,%,0,100
hssf_81a,hssf_81,%,0,100
hssf_82a,hssf_82,%,0,100
hssf_83a,hssf_83,%,0,100
hssf_84a,hssf_84,%,0,100
hssf_85a,hssf_85,%,0,100
hssf_86a,hssf_86,#,0,
hssf_86b,hssf_86,#,0,
hssf_87a,hssf_87,%,0,100
hssf_87b,hssf_87,%,0,100
hssf_88a,hssf_88,%,0,100
hssf_88b,hssf_88,%,0,100
hssf_89a,hssf_89,%,0,100
hssf_89b,hssf_89,%,0,100
hssf_90a,hssf_90,%,0,100
hssf_90b,hssf_90,%,0,100
hssf_91a,hssf_91,%,0,100
hssf_92b,hssf_92,%,0,100
hssf_93a,hssf_93,%,0,100
hssf_93b,hssf_93,%,0,100
hssf_94a,hssf_94,%,0,100
hssf_94b,hssf_94,%,0,100
hssf_95a,hssf_95,%,0,100
hssf_95b,hssf_95,%,0,100
hssf_95c,hssf_95,%,0,100
hssf_96a,hssf_96,%,0,100
hssf_96b,hssf_96,%,0,100
hssf_97a,hssf_97,%,0,100
hssf_98a,hssf_98,%,0,100
hssf_99a,hssf_99,%,0,100
hssf_100a,hssf_100,%,0,100
hssf_101a,hssf_101,%,0,100
hssf_102a,hssf_102,%,0,100
hssf_103a,hssf_103,#,0,
hssf_104a,hssf_104,#,0,
hssf_105a,hssf_105,%,0,100
hssf_105b,hssf_105,%,0,100
hssf_106a,hssf_106,#,0,
hssf_107a,hssf_107,%,0,100
hssf_107b,hssf_107,%,0,100
hssf_107c,hssf_107,%,0,100
hssf_108a,hssf_108,#,0,
hssf_109a,hssf_109,%,0,100
hssf_110a,hssf_110,#,0,
hssf_110b,hssf_110,#,0,
hssf_111a,hssf_111,%,0,100
hssf_112a,hssf_112,%,0,100
hssf_113a,hssf_113,%,0,100
hssf_114a,hssf_114,%,0,100
hssf_115a,hssf_115,%,0,100
hssf_116a,hssf_116,%,0,100
hssf_117a,hssf_117,%,0,100
hssf_118a,hssf_118,%,0,100
hssf_119a,hssf_119,%,0,100
hssf_120a,hssf_120,%,0,100
hssf_121a,hssf_121,%,0,100
hssf_122a,hssf_122,%,0,100
hssf_123a,hssf_123,%,0,100
hssf_124a,hssf_124,%,0,100
hssf_124b,hssf_124,%,0,100
hssf_125a,hssf_125,%,0,100
hssf_125b,hssf_125,%,0,100
hssf_126a,hssf_126,%,0,100
hssf_126b,hssf_126,%,0,100
hssf_127a,hssf_127,%,0,100
hssf_127b,hssf_127,%,0,100
hssf_128a,hssf_128,%,0,100
hssf_128b,hssf_128,%,0,100
hssf_129a,hssf_129,%,0,100
hssf_129b,hssf_129,%,0,100
hssf_130a,hssf_130,%,0,100
hssf_130b,hssf_130,%,0,100
hssf_131a,hssf_131,#,0,
hssf_132a,hssf_132,%,0,100
hssf_132b,hssf_132,%,0,100
hssf_133a,hssf_133,%,0,100
hssf_133b,hssf_133,%,0,100
hssf_134a,hssf_134,%,0,100
hssf_135a,hssf_135,%,0,100
hssf_136a,hssf_136,%,0,100
hssf_136b,hssf_136,%,0,100
hssf_137a,hssf_137,%,0,100
hssf_137b,hssf_137,%,0,100
hssf_137c,hssf_137,%,0,100
hssf_138a,hssf_138,%,0,100
hssf_139a,hssf_139,%,0,100
hssf_139b,hssf_139,%,0,100
hssf_140a,hssf_140,%,0,100
hssf_140b,hssf_140,%,0,100
hssf_140c,hssf_140,%,0,100
hssf_141a,hssf_141,%,0,100
hssf_141b,hssf_141,%,0,100
hssf_141c,hssf_141,%,0,100
hssf_142a,hssf_142,#,0,
hssf_142b,hssf_142,#,0,
hssf_143a,hssf_143,#,0,
hssf_143b,hssf_143,#,0,
hssf_143c,hssf_143,#,0,
hssf_143d,hssf_143,#,0,
hssf_144a,hssf_144,#,0,
hssf_144b,hssf_144,#,0,
hssf_144c,hssf_144,#,0,
hssf_145a,hssf_145,#,0,
hssf_145b,hssf_145,#,0,
hssf_145c,hssf_145,#,0,
hssf_146a,hssf_146,#,0,
hssf_147a,hssf_147,#,0,
hssf_148a,hssf_148,#,0,
hssf_149a,hssf_149,#,0,
hssf_149b,hssf_149,#,0,
hssf_150a,hssf_150,#,0,
hssf_151a,hssf_151,#,0,
hssf_152a,hssf_152,#,0,
hssf_153a,hssf_153,#,0,
hssf_154a,hssf_154,#,0,
hssf_155a,hssf_155,#,0,
hssf_155b,hssf_155,#,0,
hssf_156a,hssf_156,#,0,
hssf_156b,hssf_156,#,0,
hssf_157a,hssf_157,#,0,
hssf_158a,hssf_158,#,0,
hssf_159a,hssf_159,#,0,
hssf_160a,hssf_160,#,0,
hssf_161a,hssf_161,#,0,
hssf_162a,hssf_162,#,0,
hssf_163a,hssf_163,#,0,
hssf_164a,hssf_164,#,0,
hssf_165a,hssf_165,#,0,
hssf_166a,hssf_166,#,0,
hssf_167a,hssf_167,#,0,
hssf_168a,hssf_168,#,0,
hssf_169a,hssf_169,#,0,
hssf_170a,hssf_170,#,0,
hssf_171a,hssf_171,#,0,
hssf_172a,hssf_172,%,0,100
hssf_173a,hssf_173,#,0,
hssf_174a,hssf_174,%,0,100
hssf_175a,hssf_175,#,0,
hssf_176a,hssf_176,%,0,100
hssf_177a,hssf_177,#,0,
hssf_178a,hssf_178,%,0,100
hssf_179a,hssf_179,#,0,
hssf_180a,hssf_180,%,0,100
hssf_181a,hssf_181,#,0,
hssf_182a,hssf_182,%,0,100
hssf_183a,hssf_183,#,0,
hssf_183b,hssf_183,#,0,
hssf_184a,hssf_184,#,0,
hssf_185a,hssf_185,%,0,100
hssf_185b,hssf_185,%,0,100
hssf_186a,hssf_186,#,0,
hssf_187a,hssf_187,min,0,
hssf_188a,hssf_188,%,0,100
hssf_189a,hssf_189,%,0,100
hssf_190a,hssf_190,#,0,
hssf_191a,hssf_191,%,0,100
hssf_192a,hssf_192,#,0,
hssf_193a,hssf_193,%,0,100
hssf_194a,hssf_194,#,0,
hssf_195a,hssf_195,#,0,
hssf_195b,hssf_195,#,0,
hssf_196a,hssf_196,#,0,
hssf_197a,hssf_197,%,0,100
hssf_198a,hssf_198,#,0,
hssf_199a,hssf_199,#,0,
hssf_200a,hssf_200,#,0,
hssf_201a,hssf_201,#,0,
hssf_202a,hssf_202,%,0,100
hssf_203a,hssf_203,#,0,
hssf_204a,hssf_204,%,0,100
hssf_205a,hssf_205,#,0,
hssf_206a,hssf_206,%,0,100
hssf_207a,hssf_207,#,0,
hssf_208a,hssf_208,#,0,
hssf_209a,hssf_209,%,0,100
hssf_210a,hssf_210,#,0,
hssf_211a,hssf_211,#,0,
hssf_212a,hssf_212,%,0,100
hssf_213a,hssf_213,#,0,
hssf_214a,hssf_214,#,0,
hssf_215a,hssf_215,%,0,100
hssf_216a,hssf_216,%,0,100
hssf_217a,hssf_217,%,0,100
hssf_218a,hssf_218,%,0,100
hssf_219a,hssf_219,%,0,100
hssf_220a,hssf_220,%,0,100
hssf_221a,hssf_221,%,0,100
hssf_222a,hssf_222,%,0,100
hssf_223a,hssf_223,%,0,100
hssf_224a,hssf_224,%,0,100
hssf_225a,hssf_225,%,0,100
hssf_226a,hssf_226,#,0,
hssf_227a,hssf_227,%,0,100
hssf_228a,hssf_228,#,0,
hssf_229a,hssf_229,%,0,100
hssf_230a,hssf_230,#,0,
hssf_231a,hssf_231,%,0,100
hssf_232a,hssf_232,#,0,
hssf_233a,hssf_233,#,0,
hssf_234a,hssf_234,#,0,
hssf_235a,hssf_235,#,0,
hssf_236a,hssf_236,#,0,
hssf_237a,hssf_237,#,0,
hssf_238a,hssf_238,#,0,
hssf_239a,hssf_239,#,0,
hssf_240a,hssf_240,#,0,
hssf_241a,hssf_241,#,0,
hssf_242a,hssf_242,#,0,
hssf_243a,hssf_243,#,0,
hssf_244a,hssf_244,#,0,
hssf_245a,hssf_245,#,0,
hssf_246a,hssf_246,#,0,
hssf_247a,hssf_247,#,0,
hssf_248a,hssf_248,#,0,
hssf_249a,hssf_249,%,0,100
hssf_5000a,hssf_5000,#/s,0,
hssf_5001a,hssf_5001,#/s,0,
hssf_5001b,hssf_5001,#/s,0,
hssf_5002a,hssf_5002,#/s,0,
hssf_5002b,hssf_5002,#/s,0,
hssf_5003b,hssf_5003,#/s,0,
hssf_5004a,hssf_5004,#/s,0,
hssf_5005a,hssf_5005,#/s,0,
hssf_5005b,hssf_5005,#/s,0,
hssf_5006a,hssf_5006,#/s,0,
hssf_5007a,hssf_5007,#/s,0,
hssf_5008a,hssf_5008,#/s,0,
hssf_5009a,hssf_5009,#/s,0,
hssf_5009b,hssf_5009,#/s,0,
hssf_5010a,hssf_5010,%,0,100
hssf_5011a,hssf_5011,#/s,0,
hssf_5012a,hssf_5012,#/s,0,
hssf_5013a,hssf_5013,#,0,
hssf_5014a,hssf_5014,#/s,0,
hssf_5015a,hssf_5015,#/s,0,
hssf_5016a,hssf_5016,#/s,0,
hssf_5017a,hssf_5017,#/s,0,
hssf_5017b,hssf_5017,#/s,0,
hssf_5017c,hssf_5017,#/s,0,
hssf_5017d,hssf_5017,#/s,0,
hssf_5017e,hssf_5017,#/s,0,
hssf_5018a,hssf_5018,#/s,0,
hssf_5019a,hssf_5019,#/s,0,
hssf_5019b,hssf_5019,#/s,0,
hssf_5019c,hssf_5019,#/s,0,
