KPI,Unit,Min,Max
msc_667b,msc_667,%,0,100
msc_672a,msc_672,#,0,
cds_672a,cds_672,#,0,
msc_681a,msc_681,%,0,100
msc_683a,msc_683,#,0,
msc_689a,msc_689,%,0,100
msc_689b,msc_689,%,0,100
msc_700a,msc_700,%,0,100
msc_701a,msc_701,%,0,100
msc_702a,msc_702,%,0,100
msc_702b,msc_702,%,0,100
msc_703a,msc_703,#,0,
msc_703b,msc_703,#,0,
msc_704a,msc_704,#,0,
msc_704b,msc_704,#,0,
msc_705a,msc_705,#,0,
msc_705b,msc_705,#,0,
msc_706a,msc_706,#,0,
msc_706b,msc_706,#,0,
msc_707a,msc_707,#,0,
msc_707b,msc_707,#,0,
msc_708a,msc_708,E,,
msc_708b,msc_708,E,,
cds_708a,cds_708,E,,
msc_715a,msc_715,#,0,
msc_715b,msc_715,#,0,
msc_743a,msc_743,min,0,
msc_743b,msc_743,min,0,
msc_743c,msc_743,min,0,
msc_743d,msc_743,min,0,
msc_1292a,msc_1292,%,0,100
cds_1292a,cds_1292,%,0,100
msc_4009a,msc_4009,%,0,100
msc_5016b,msc_5016,%,0,100
cds_5016a,cds_5016,%,0,100
cmbh_1a,cmbh_1,%,0,100
cmbh_2a,cmbh_2,%,0,100
cmbh_3a,cmbh_3,%,0,100
cmbh_4a,cmbh_4,%,0,100
kpiifinpkts,kpiifinpkts,#,0,
kpiifoutpkts,kpiifoutpkts,#,0,
kpiporterrors,kpiporterrors,#,0,
kpiportdiscards,kpiportdiscards,#,0,
cgne_1a,cgne_1,%,0,100
cgne_2a,cgne_2,%,0,100
cgne_3a,cgne_3,%,0,100
cgne_4a,cgne_4,%,0,100
cgne_1b,cgne_1,%,0,100
cgne_2b,cgne_2,%,0,100
cgne_3b,cgne_3,kb/s,0,
cgne_4b,cgne_4,kb/s,0,
cgne_5b,cgne_5,kb/s,0,
cgne_6b,cgne_6,kb/s,0,
cgne_7b,cgne_7,p/s,0,
cgne_8b,cgne_8,p/s,0,
cgne_9b,cgne_9,p/s,0,
cgne_10b,cgne_10,p/s,0,
cgne_11b,cgne_11,p/s,0,
cgne_12b,cgne_12,p/s,0,
cgne_13b,cgne_13,p/s,0,
cgne_14b,cgne_14,p/s,0,
cgne_15b,cgne_15,p/s,0,
cgne_16b,cgne_16,p/s,0,
cgne_17b,cgne_17,p/s,0,
cgne_18b,cgne_18,p/s,0,
cgne_19b,cgne_19,p/s,0,
cgne_20b,cgne_20,p/s,0,
cgne_21b,cgne_21,p/s,0,
cgne_22b,cgne_22,p/s,0,
cgne_23b,cgne_23,p/s,0,
cgne_24b,cgne_24,p/s,0,
cgne_25b,cgne_25,p/s,0,
cgne_26b,cgne_26,p/s,0,
cgne_27b,cgne_27,p/s,0,
cgne_28b,cgne_28,p/s,0,
cgne_29b,cgne_29,p/s,0,
cgne_30b,cgne_30,p/s,0,
cgne_31b,cgne_31,p/s,0,
cgne_32b,cgne_32,p/s,0,
cgne_33b,cgne_33,p/s,0,
cgne_34b,cgne_34,p/s,0,
cgne_35b,cgne_35,p/s,0,
cgne_36a,cgne_36,h,0,
cgne_37a,cgne_37,p/s,0,
cgne_38a,cgne_38,p/s,0,
cgne_39a,cgne_39,%,0,100
cgne_40a,cgne_40,%,0,100
cgne_41a,cgne_41,%,0,100
cmds_100a,cmds_100,#,0,
cmds_101a,cmds_101,#,0,
cmds_102a,cmds_102,#,0,
cmds_103a,cmds_103,#,0,
cmds_104a,cmds_104,#,0,
cmds_105a,cmds_105,%,0,100
cmds_105b,cmds_105,%,0,100
cmds_106a,cmds_106,#,0,
cmds_107a,cmds_107,#,0,
cmds_108a,cmds_108,#,0,
cmds_109a,cmds_109,#,0,
cmds_110a,cmds_110,%,0,100
cmds_111a,cmds_111,#,0,
cmds_112a,cmds_112,#,0,
cmds_113a,cmds_113,#,0,
cmds_114a,cmds_114,%,0,100
cmds_115a,cmds_115,%,0,100
dcap_1a,dcap_1,MB,0,
dcap_2a,dcap_2,MB,0,
dcap_3a,dcap_3,MB,0,
dcap_4a,dcap_4,MB,0,
rnc_601a,rnc_601,%,0,100
rnc_602a,rnc_602,%,0,100
rnc_163b,rnc_163,kb/s,0,
rnc_165b,rnc_165,kb/s,0,
rnc_165c,rnc_165,kb/s,0,
rnc_165d,rnc_165,kb/s,0,
rnc_162b,rnc_162,kb/s,0,
rnc_164b,rnc_164,kb/s,0,
rnc_164c,rnc_164,kb/s,0,
rnc_164d,rnc_164,kb/s,0,
rnc_603a,rnc_603,cell/s,,
rnc_102b,rnc_102,dBm,,
rnc_17a,rnc_17,kb/s,0,
rnc_18a,rnc_18,kb/s,0,
rnc_16a,rnc_16,kb/s,0,
rnc_170a,rnc_170,kb/s,0,
rnc_101b,rnc_101,dBm,,
rnc_133b,rnc_133,%,0,100
rnc_280a,rnc_280,E,,
rnc_566b,rnc_566,%,0,100
rnc_565a,rnc_565,%,0,100
rnc_566c,rnc_566,%,0,100
rnc_565b,rnc_565,%,0,100
rnc_565c,rnc_565,%,0,100
rnc_575a,rnc_575,%,0,100
rnc_575b,rnc_575,%,0,100
rnc_576a,rnc_576,%,0,100
rnc_576b,rnc_576,%,0,100
rnc_604a,rnc_604,%,0,100
rnc_605a,rnc_605,%,0,100
rnc_606a,rnc_606,kb/s,0,
rnc_607a,rnc_607,%,0,100
rnc_607b,rnc_607,%,0,100
rnc_608a,rnc_608,Mb,0,
rnc_609a,rnc_609,%,0,100
rnc_169b,rnc_169,%,0,100
rnc_168a,rnc_168,%,0,100
rnc_544a,rnc_544,%,0,100
rnc_177b,rnc_177,dBm,,
rnc_610a,rnc_610,%,0,100
rnc_611a,rnc_611,kb/s,0,
rnc_612a,rnc_612,%,0,100
rnc_613a,rnc_613,kb/s,0,
rnc_98c,rnc_98,%,0,100
rnc_159a,rnc_159,%,0,100
rnc_159b,rnc_159,%,0,100
rnc_174a,rnc_174,%,0,100
rnc_176a,rnc_176,%,0,100
rnc_175a,rnc_175,%,0,100
rnc_100c,rnc_100,%,0,100
rnc_99c,rnc_99,%,0,100
rnc_160c,rnc_160,%,0,100
rnc_171a,rnc_171,%,0,100
rnc_172a,rnc_172,%,0,100
rnc_173a,rnc_173,%,0,100
rnc_156a,rnc_156,%,0,100
rnc_157a,rnc_157,%,0,100
rnc_97a,rnc_97,%,0,100
rnc_96a,rnc_96,%,0,100
rnc_158a,rnc_158,%,0,100
rnc_95b,rnc_95,%,0,100
rnc_154b,rnc_154,%,0,100
rnc_94b,rnc_94,%,0,100
rnc_94c,rnc_94,%,0,100
rnc_79b,rnc_79,%,0,100
rnc_192b,rnc_192,%,0,100
rnc_195a,rnc_195,%,0,100
flng_100a,flng_100,#,0,
flng_101a,flng_101,%,0,100
flng_102a,flng_102,#,0,
flng_103a,flng_103,%,0,100
flng_104a,flng_104,#,0,
flng_105a,flng_105,%,0,100
flng_106a,flng_106,#,0,
flng_107a,flng_107,%,0,100
flng_108a,flng_108,#,0,
flng_109a,flng_109,%,0,100
flng_110a,flng_110,#,0,
flng_111a,flng_111,%,0,100
flng_112a,flng_112,#,0,
flng_113a,flng_113,%,0,100
flng_114a,flng_114,#,0,
flng_115a,flng_115,#,0,
flng_116a,flng_116,#,0,
flng_117a,flng_117,%,0,100
flng_118a,flng_118,#,0,
flng_119a,flng_119,#,0,
flng_120a,flng_120,kB,0,
