KPI,Unit
RNC_159a,%
RNC_159b,%
RNC_174a,%
RNC_176a,%
RNC_175a,%
RNC_100c,%
RNC_99c,%
RNC_160c,%
RNC_171a,%
RNC_172a,%
RNC_173a,%
RNC_156a,%
RNC_157a,%
RNC_97a,%
RNC_96a,%
RNC_158a,%
RNC_95b,%
RNC_154b,%
RNC_94b,%
RNC_94c,%
RNC_79b,%
RNC_192b,%
RNC_195a,%
flng_100a,#
flng_101a,%
flng_102a,#
flng_103a,%
flng_104a,#
flng_105a,%
flng_106a,#
flng_107a,%
flng_108a,#
flng_109a,%
flng_110a,#
flng_111a,%
flng_112a,#
flng_113a,%
flng_114a,#
flng_115a,#
flng_116a,#
flng_117a,%
flng_118a,#
flng_119a,#
flng_120a,kB
flng_121a,kB
flng_122a,kB
flng_123a,#
flng_124a,%
flng_125a,#
flng_126a,%
flng_127a,#
flng_128a,%
flng_129a,#
flng_130a,%
flng_131a,#
flng_132a,%
flng_133a,#
flng_134a,%
flng_135a,#
flng_136a,%
flng_137a,#
flng_138a,%
flng_139a,#
flng_140a,%
flng_141a,#
flng_142a,%
flng_143a,#
flng_144a,%
flng_145a,#
flng_146a,%
flng_147a,#
flng_147b,#
flng_148a,%
flng_148b,%
flng_149a,#
flng_150a,%
flng_151a,#
flng_152a,%
flng_153a,#
flng_154a,%
flng_155a,#
flng_156a,%
flng_157a,kB
flng_158a,kB
flng_159a,kB
flng_160a,MB
flng_161a,Mbps
flng_162a,MB
flng_163a,Mbps
flng_164a,MB
flng_165a,Mbps
flng_166a,MB
flng_166b,MB
flng_167a,Mbps
flng_167b,Mbps
flng_168a,MB
flng_168b,MB
flng_169a,Mbps
flng_169b,Mbps
flng_170a,MB
flng_170b,MB
flng_5000b,Mbps
flng_172a,%
flng_173a,%
flng_174a,%
flng_175a,%
flng_176a,%
flng_177a,%
flng_178a,%
flng_179a,%
flng_180a,%
flng_181a,%
flng_182a,%
flng_183a,%
flng_184a,%
flng_184b,%
flng_185a,%
flng_185b,%
flng_186a,%
flng_186b,%
flng_187a,%
flng_187b,%
flng_188a,%
flng_188b,%
flng_189a,%
flng_189b,%
flng_190a,%
flng_190b,%
flng_191a,%
flng_191b,%
flng_192a,MB
flng_194a,MB
