KPI,Unit,Min,Max
cgne_31b,p/s,0,
cgne_32b,p/s,0,
cgne_33b,p/s,0,
cgne_34b,p/s,0,
cgne_35b,p/s,0,
cgne_36a,h,0,
cgne_37a,p/s,0,
cgne_38a,p/s,0,
cgne_39a,%,0,100
cgne_40a,%,0,100
cgne_41a,%,0,100
cmds_100a,#,0,
cmds_101a,#,0,
cmds_102a,#,0,
cmds_103a,#,0,
cmds_104a,#,0,
cmds_105a,%,0,100
cmds_105b,%,0,100
cmds_106a,#,0,
cmds_107a,#,0,
cmds_108a,#,0,
cmds_109a,#,0,
cmds_110a,%,0,100
cmds_111a,#,0,
cmds_112a,#,0,
cmds_113a,#,0,
cmds_114a,%,0,100
cmds_115a,%,0,100
DCAP_1a,MB,0,
DCAP_2a,MB,0,
DCAP_3a,MB,0,
DCAP_4a,MB,0,
RNC_601a,%,0,100
RNC_602a,%,0,100
RNC_163b,kb/s,0,
RNC_165b,kb/s,0,
RNC_165c,kb/s,0,
RNC_165d,kb/s,0,
RNC_162b,kb/s,0,
RNC_164b,kb/s,0,
RNC_164c,kb/s,0,
RNC_164d,kb/s,0,
RNC_603a,cell/s,,
RNC_102b,dBm,,
RNC_17a,kb/s,0,
RNC_18a,kb/s,0,
RNC_16a,kb/s,0,
RNC_170a,kb/s,0,
RNC_101b,dBm,,
RNC_133b,%,0,100
RNC_280a,E,,
RNC_566b,%,0,100
RNC_565a,%,0,100
RNC_566c,%,0,100
RNC_565b,%,0,100
RNC_565c,%,0,100
RNC_575a,%,0,100
RNC_575b,%,0,100
RNC_576a,%,0,100
RNC_576b,%,0,100
RNC_604a,%,0,100
RNC_605a,%,0,100
RNC_606a,kb/s,0,
RNC_607a,%,0,100
RNC_607b,%,0,100
RNC_608a,Mb,0,
RNC_609a,%,0,100
RNC_169b,%,0,100
RNC_168a,%,0,100
RNC_544a,%,0,100
RNC_177b,dBm,,
RNC_610a,%,0,100
RNC_611a,kb/s,0,
RNC_612a,%,0,100
RNC_613a,kb/s,0,
RNC_98c,%,0,100
RNC_159a,%,0,100
RNC_159b,%,0,100
RNC_174a,%,0,100
RNC_176a,%,0,100
RNC_175a,%,0,100
RNC_100c,%,0,100
RNC_99c,%,0,100
RNC_160c,%,0,100
RNC_171a,%,0,100
RNC_172a,%,0,100
RNC_173a,%,0,100
RNC_156a,%,0,100
RNC_157a,%,0,100
RNC_97a,%,0,100
RNC_96a,%,0,100
RNC_158a,%,0,100
RNC_95b,%,0,100
RNC_154b,%,0,100
RNC_94b,%,0,100
